word,frequency
charmed,6
sufficiently,6
ashore,6
rough,6
inlaid,6
ball,6
wet,6
smooth,6
neighbours,6
somewhere,6
iphitus,6
flock,6
trench,6
seated,6
beds,6
whenever,6
thankful,6
opened,6
brains,6
sport,6
blame,6
soil,6
touch,6
ambrosia,6
start,6
moved,6
doubted,6
surrounded,6
beggars,6
bless,6
houses,6
generally,6
sacrifices,6
theban,6
lips,6
smiled,6
rebuked,6
yourselves,6
aegisbearing,6
keel,6
perfectly,6
camped,6
won,6
precious,6
quit,6
senses,6
lambs,6
fierce,6
lately,6
burden,6
rejoice,6
ear,6
captain,6
swam,6
deck,6
wickedness,6
persist,6
egyptians,6
needlework,6
loud,6
seer,6
palace,6
rejoicing,6
basin,6
shame,6
bury,6
steeds,6
managed,6
everybody,6
sake,6
vineyard,6
growing,6
deceive,6
according,6
sensible,6
wake,6
sudden,6
quietly,6
ogygian,6
bravest,6
strung,6
landed,6
compare,6
numbers,6
sharp,6
redoubtable,6
forthwith,6
walls,6
henceforward,6
youth,6
build,6
yesterday,6
purpose,6
task,6
toil,6
judgement,6
bit,6
fishes,6
cooked,6
rudder,6
polyphemus,6
limb,6
horns,6
gear,6
comfortable,6
otherwise,6
hurricane,6
guard,6
rushed,6
pig,6
shooting,6
welldisposed,6
oak,6
oar,6
settled,6
entertained,6
splendid,6
amid,6
thoroughly,6
rowing,6
fragrant,6
fought,6
heap,6
serious,6
cook,6
level,6
antilochus,6
sports,6
fourth,6
cauldron,6
urge,6
proud,6
wool,6
afterwards,6
robbed,6
cast,6
longing,6
bodies,6
snatched,6
whence,6
amongst,6
sufficient,6
goat,6
hid,6
stick,6
meaning,6
dragged,6
chose,6
conversation,6
plainly,6
doomed,6
spoil,6
lead,6
juno,6
hanging,5
cyprus,5
thunder,5
herb,5
strike,5
keeps,5
blind,5
wrought,5
admirable,5
service,5
heartily,5
plate,5
unseemly,5
ease,5
possibly,5
support,5
smell,5
meadow,5
wondering,5
following,5
wolves,5
limbs,5
nation,5
future,5
patroclus,5
vision,5
pontonous,5
uproar,5
thinks,5
wits,5
dirty,5
watches,5
renown,5
fiercely,5
likeness,5
afflictions,5
pear,5
sell,5
play,5
barren,5
failed,5
enemy,5
firm,5
pressed,5
pale,5
ago,5
anxious,5
wheat,5
eteoneus,5
prosper,5
witness,5
length,5
vultures,5
tramps,5
bred,5
brine,5
ends,5
weary,5
drug,5
